FID,REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ObjectId,State,Emergency_Declaration,National_Guard_State_Activation,State_Employee_Travel_Restricti,Statewide_Limits_on_Gatherings_,Statewide_School_Closures,Statewide_Closure_of_Non_Essent,Statewide_Closure_of_Some_or_Al,Essential_Business_Designations,Statewide_Curfew,F1135_Waiver_Status,Extension_of_Individual_Income_,Primary_Election,Domestic_Travel_Limitations,Statewide_Mask_Policy,MajorDisasterDeclaration,MajorDisasterDeclarationDate,GlobalID,VentShare,ReopenPlans,ReopenDoc,TaskForceDocs,SHAPE_Length,SHAPE_Area
1,3,5,54,01779805,54,WV,West Virginia,00,G4000,A,62265662566,489840834,+38.6472854,-080.6183274,54,West Virginia,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses      Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,"Mandatory; Executive Order - All Travelers Coming from CT, LA, NJ, NY",Recommendation,Request Approved,,{69DDC4D6-F9FD-4218-9621-EAF7FDDF92E6},No,N/A,https://coronavirus.wvgovstatus.com/WV_Strong_The_Comeback.pdf,,20.7419196467161,6.49387343007671
2,3,5,12,00294478,12,FL,Florida,00,G4000,A,138911437206,31398800291,+28.4574302,-082.4091478,12,Florida,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - recommended through end of year,"Limited operations required - restaurants, bars                        Closures required- gyms",Yes - Some,No,Local,Approved,N/A,Already held,"Mandatory; Executive Order - All Air Travelers Coming from CT, NJ, NY and All Travelers from LA",Mandatory (for essential business employees),Request Approved,,{A148C095-986B-4914-9019-2E3F314F371A},No,Yes,,https://www.flgov.com/2020/04/21/governor-ron-desantis-re-open-florida-task-force-industry-working-group/,31.6726533687502,15.7001374735377
3,2,3,17,01779784,17,IL,Illinois,00,G4000,A,143784114293,6211277447,+40.1028754,-089.1526108,17,Illinois,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses     Limited operatios required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,No,Mandatory,Request Approved,,{846FC5CE-861B-4591-9C45-53A011115002},No,N/A,https://coronavirus.illinois.gov/sfc/servlet.shepherd/document/download/069t000000BadS0AAJ?operationContext=S1,,22.5318040832469,15.8526140226346
4,2,4,27,00662849,27,MN,Minnesota,00,G4000,A,206229176104,18944967530,+46.3158148,-094.1996628,27,Minnesota,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses
Limited operations required - restaurants",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,No,Mandatory (for essential business employees),Request Approved,,{6D9AFC86-B018-45B7-9017-5E50B92F513A},No,Yes,https://mn.gov/covid19/for-minnesotans/stay-safe-mn/stay-safe-mn.jsp,https://mn.gov/governor/covid-19/news/#/detail/appId/1/id/428643,35.0768815905292,26.3269196654998
5,3,5,24,01714934,24,MD,Maryland,00,G4000,A,25150696145,6980371026,+38.9466584,-076.6744939,24,Maryland,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses Limited operations required - restaurants,Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,"Recommendation; All Travelers",Mandatory,Request Approved,,{54D478BD-89BC-4EB5-BF27-205250C04AB4},No,N/A,https://governor.maryland.gov/wp-content/uploads/2020/04/MD_Strong.pdf,,15.0470218157545,3.33878657628978
6,1,1,44,01219835,44,RI,Rhode Island,00,G4000,A,2677997539,1323452846,+41.5974187,-071.5272723,44,Rhode Island,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Closure required - non-essential businesses Limited operations required - restaurants, bars, entertainment venues",Yes - Some,No,No,Approved,Yes- filing and payment,Delayed/Rescheduled,"Mandatory; Executive Order - All Travelers",Mandatory,Request Approved,,{C42B23D2-B56F-4923-8A59-E38AF2AC7DA9},No,N/A,https://reopeningri.s3.amazonaws.com/REOPENINGRI_4_27_20_1227pm_CS.pdf,,3.67582266712222,0.432129072959879
7,4,8,16,01779783,16,ID,Idaho,00,G4000,A,214048160737,2393355752,+44.3484222,-114.5588538,16,Idaho,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - recommended through end of year,In-person workforce prohibited at non-essential businesses,Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,"Recommendation; Stay Healthy Order - Some Nonresident Travelers",Recommendation,Request Approved,,{71DE3D7C-7670-4E22-BC36-D901B571F388},No,N/A,https://rebound.idaho.gov/stages-of-reopening/,,31.2417142857879,24.4566459249029
8,1,1,33,01779794,33,NH,New Hampshire,00,G4000,A,23187445452,1028643155,+43.6726907,-071.5843145,33,New Hampshire,Yes,Yes,Yes,Yes - stay at home order,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businessesLimited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,N/A,"Primary on schedule; already held caucus","Recommendation; All Travelers",Mandatory (for essential business employees and patrons while on premises),Request Approved,,{7BD54FA9-6B1A-418A-994A-6A7F470356C4},No,Yes,,https://www.governor.nh.gov/news-media/press-2020/20200421-economic-task-force.htm,10.206215355398,2.70313748109771
9,3,5,37,01027616,37,NC,North Carolina,00,G4000,A,125919712692,13470113896,+35.5397100,-079.1308636,37,North Carolina,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars Closure required - gyms, theaters, bowling alleys, recreation facilities ",Yes - Some,Yes,Local,Approved,Yes- filing and payment,Already held,No,Recommendation,Request Approved,,{C3CFA626-A9C2-40C9-BA39-7AC73D163CA7},No,N/A,https://governor.nc.gov/news/governor-cooper-shares-path-forward-north-carolina,,22.6391087979083,13.8522161113343
10,1,1,50,01779802,50,VT,Vermont,00,G4000,A,23873457570,1031134839,+44.0604795,-072.6733274,50,Vermont,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,"Mandatory; Addendum 7 to Executive order - All Travelers",Mandatory (for essential business employees),Request Approved,,{61754E9D-6A2C-478F-BDF6-414D1B6B6782},No,Yes,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%2010%20TO%20EXECUTIVE%20ORDER%2001-20_0.pdf,https://accd.vermont.gov/covid-19/economic-mitigation-and-recovery-task-force,9.83273062258915,2.79821559927646
