city,state_id,state,county_fips,county,lat,lng,population,density
New York,NY,New York,36061,New York,40.6943,-73.9249,18713220,10715
Los Angeles,CA,California,06037,Los Angeles,34.1139,-118.4068,12750807,3276
Chicago,IL,Illinois,17031,Cook,41.8373,-87.6862,8604203,4574
Miami,FL,Florida,12086,Miami-Dade,25.7839,-80.2102,6445545,5019
Dallas,TX,Texas,48113,Dallas,32.7936,-96.7662,5743938,1526
Philadelphia,PA,Pennsylvania,42101,Philadelphia,40.0077,-75.1339,5649300,4554
Houston,TX,Texas,48201,Harris,29.7863,-95.3889,5464251,1399
Atlanta,GA,Georgia,13121,Fulton,33.7627,-84.4224,5449398,1441
Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5379184,4457
Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0846,4688346,5532
Phoenix,AZ,Arizona,04013,Maricopa,33.5722,-112.0891,4219697,1253
Seattle,WA,Washington,53033,King,47.6211,-122.3244,3789215,3469
San Francisco,CA,California,06075,San Francisco,37.7562,-122.443,3592294,7256
Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,3506126,1864
San Diego,CA,California,06073,San Diego,32.8312,-117.1225,3220118,1686
Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678,2977172,3071
Tampa,FL,Florida,12057,Hillsborough,27.9942,-82.4451,2908063,1353
Denver,CO,Colorado,08031,Denver,39.7621,-104.8759,2876625,1831
Brooklyn,NY,New York,36047,Kings,40.6501,-73.9496,2559903,14221
Queens,NY,New York,36081,Queens,40.7498,-73.7976,2230722,7885
Riverside,CA,California,06065,Riverside,33.9381,-117.3948,2107852,1574
Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2106068,2830
Las Vegas,NV,Nevada,32003,Clark,36.2333,-115.2654,2104198,1773
Portland,OR,Oregon,41051,Multnomah,45.5372,-122.65,2074775,1894
San Antonio,TX,Texas,48029,Bexar,29.4658,-98.5253,2049293,1231
St. Louis,MO,Missouri,29510,St. Louis,38.6358,-90.2451,2024074,1879
Sacramento,CA,California,06067,Sacramento,38.5667,-121.4683,1898019,2029
Orlando,FL,Florida,12095,Orange,28.4772,-81.3369,1822394,1003
San Jose,CA,California,06085,Santa Clara,37.3019,-121.8486,1798103,2218
Cleveland,OH,Ohio,39035,Cuyahoga,41.4767,-81.6804,1710093,1893
Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4396,-79.9762,1703266,2093
Austin,TX,Texas,48453,Travis,30.3004,-97.7522,1687311,1181
Cincinnati,OH,Ohio,39061,Hamilton,39.1413,-84.5061,1662691,1507
Kansas City,MO,Missouri,29095,Jackson,39.1239,-94.5541,1636715,607
Manhattan,NY,New York,36061,New York,40.7834,-73.9662,1628706,27545
Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1588961,935
Columbus,OH,Ohio,39049,Franklin,39.9862,-82.985,1562009,1582
Charlotte,NC,North Carolina,37119,Mecklenburg,35.208,-80.8304,1512923,1113
Virginia Beach,VA,Virginia,51810,Virginia Beach,36.7335,-76.0435,1478868,709
Bronx,NY,New York,36005,Bronx,40.8501,-73.8662,1418207,12862
Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9673,1365787,2369
Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1203230,3773
Jacksonville,FL,Florida,12031,Duval,30.3322,-81.6749,1181496,470
Salt Lake City,UT,Utah,49035,Salt Lake,40.7777,-111.9306,1098526,699
Nashville,TN,Tennessee,47037,Davidson,36.1715,-86.7843,1081903,544
Richmond,VA,Virginia,51760,Richmond,37.5295,-77.4756,1075798,1484
Memphis,TN,Tennessee,47157,Shelby,35.1046,-89.9773,1066967,792
Raleigh,NC,North Carolina,37183,Wake,35.8325,-78.6435,1038738,1254
New Orleans,LA,Louisiana,22071,Orleans,30.0687,-89.9288,1020886,889
Louisville,KY,Kentucky,21111,Jefferson,38.1663,-85.6485,1005654,905
Oklahoma City,OK,Oklahoma,40109,Oklahoma,35.4676,-97.5136,972943,417
Bridgeport,CT,Connecticut,09001,Fairfield,41.1918,-73.1953,924449,3470
Buffalo,NY,New York,36029,Erie,42.9016,-78.8487,914341,2441
Fort Worth,TX,Texas,48439,Tarrant,32.7811,-97.3473,909585,1016
Hartford,CT,Connecticut,09003,Hartford,41.7661,-72.6834,905152,2712
Tucson,AZ,Arizona,04019,Pima,32.1545,-110.8782,888486,889
Omaha,NE,Nebraska,31055,Douglas,41.2627,-96.0522,847819,1309
El Paso,TX,Texas,48141,El Paso,31.8479,-106.4309,843386,1022
Honolulu,HI,Hawaii,15003,Honolulu,21.3294,-157.846,820987,2200
McAllen,TX,Texas,48215,Hidalgo,26.2273,-98.2471,804114,841
Albuquerque,NM,New Mexico,35001,Bernalillo,35.1053,-106.6464,761195,1155
Birmingham,AL,Alabama,01073,Jefferson,33.5277,-86.7987,739573,553
Sarasota,FL,Florida,12115,Sarasota,27.3386,-82.5431,722243,1528
Dayton,OH,Ohio,39113,Montgomery,39.7797,-84.1998,718353,978
Rochester,NY,New York,36055,Monroe,43.168,-77.6162,703952,2220
Fresno,CA,California,06019,Fresno,36.7831,-119.7941,703498,1789
Allentown,PA,Pennsylvania,42077,Lehigh,40.5961,-75.4756,683794,2672
Tulsa,OK,Oklahoma,40143,Tulsa,36.1284,-95.9042,671033,784
Cape Coral,FL,Florida,12071,Lee,26.6446,-81.9956,668382,708
Concord,CA,California,06013,Contra Costa,37.9722,-122.0016,652308,1633
Colorado Springs,CO,Colorado,08041,El Paso,38.8674,-104.7606,642413,946
Charleston,SC,South Carolina,45019,Charleston,32.8153,-79.9628,628377,480
Springfield,MA,Massachusetts,25013,Hampden,42.1155,-72.5395,623401,1860
Grand Rapids,MI,Michigan,26081,Kent,42.962,-85.6562,609314,1734
Mission Viejo,CA,California,06059,Orange,33.6095,-117.655,590249,2058
Albany,NY,New York,36001,Albany,42.6664,-73.7987,586383,1740
Knoxville,TN,Tennessee,47093,Knox,35.9692,-83.9496,586048,733
Bakersfield,CA,California,06029,Kern,35.3529,-119.0359,579295,990
Ogden,UT,Utah,49057,Weber,41.2278,-111.9682,578523,1230
Baton Rouge,LA,Louisiana,22033,East Baton Rouge,30.4418,-91.131,570308,983
Akron,OH,Ohio,39153,Summit,41.0798,-81.5219,565208,1231
New Haven,CT,Connecticut,09009,New Haven,41.3112,-72.9246,564830,2690
Columbia,SC,South Carolina,45079,Richland,34.0376,-80.9037,560041,373
Mesa,AZ,Arizona,04013,Maricopa,33.4017,-111.718,518012,1448
Palm Bay,FL,Florida,12009,Brevard,27.955,-80.6627,507002,456
Provo,UT,Utah,49049,Utah,40.2457,-111.6457,500617,1080
Worcester,MA,Massachusetts,25027,Worcester,42.2705,-71.8079,498328,1916
