month,state,state_id,county,county_fips,city,population,cases,deaths,lat,lng
April,Alabama,AL,Jefferson,01073,Birmingham,739573,18785,652,33.5277,-86.7987
April,Alabama,AL,Madison,01089,Huntsville,319249,5500,93,34.6988,-86.6412
April,Alabama,AL,Mobile,01097,Mobile,315502,16400,718,30.6783,-88.1162
April,Alabama,AL,Montgomery,01101,Montgomery,254634,5348,101,32.3473,-86.2666
April,Arizona,AZ,Maricopa,04013,Phoenix,4219697,68745,2096,33.5722,-112.0891
April,Arizona,AZ,Pima,04019,Tucson,888486,22392,1292,32.1545,-110.8782
April,Arkansas,AR,Pulaski,05119,Little Rock,439815,9605,309,34.7256,-92.3576
April,Arkansas,AR,Washington,05143,Fayetteville,351246,1461,23,36.0713,-94.166
April,California,CA,Alameda,06001,Oakland,433031,30470,988,37.7903,-122.2165
April,California,CA,Contra Costa,06013,Concord,652308,18210,457,37.9722,-122.0016
April,California,CA,Fresno,06019,Fresno,703498,8629,151,36.7831,-119.7941
April,California,CA,Kern,06029,Bakersfield,579295,15562,95,35.3529,-119.0359
April,California,CA,Los Angeles,06037,Los Angeles,12750807,362305,14801,34.1139,-118.4068
April,California,CA,Orange,06059,Mission Viejo,590249,43117,778,33.6095,-117.655
April,California,CA,Riverside,06065,Riverside,2107852,65312,2056,33.9381,-117.3948
April,California,CA,Sacramento,06067,Sacramento,1898019,23327,869,38.5667,-121.4683
April,California,CA,San Bernardino,06071,Victorville,346789,32855,1387,34.5277,-117.3536
April,California,CA,San Diego,06073,San Diego,3220118,63537,1995,32.8312,-117.1225
April,California,CA,San Francisco,06075,San Francisco,3592294,29980,481,37.7562,-122.443
April,California,CA,San Joaquin,06077,Stockton,397264,10753,521,37.9765,-121.3109
April,California,CA,Santa Clara,06085,San Jose,1798103,50477,2099,37.3019,-121.8486
April,California,CA,Sonoma,06097,Santa Rosa,324634,4982,51,38.4458,-122.7067
April,California,CA,Stanislaus,06099,Modesto,383134,5515,105,37.6374,-121.0028
