name,county_fip,month,uniq_users,total_post,county
Autauga County,01001,April,1221,2327,Autauga
Autauga County,01001,August,402,644,Autauga
Autauga County,01001,July,671,1087,Autauga
Autauga County,01001,June,447,687,Autauga
Autauga County,01001,May,819,1408,Autauga
Baldwin County,01003,April,184,319,Baldwin
Baldwin County,01003,August,76,125,Baldwin
Baldwin County,01003,July,118,194,Baldwin
Baldwin County,01003,June,88,146,Baldwin
Baldwin County,01003,May,143,234,Baldwin
Barbour County,01005,April,8,22,Barbour
Barbour County,01005,August,6,10,Barbour
Barbour County,01005,July,5,11,Barbour
Barbour County,01005,June,6,14,Barbour
Barbour County,01005,May,9,24,Barbour
Bibb County,01007,April,6,9,Bibb
Bibb County,01007,August,2,2,Bibb
Bibb County,01007,July,1,1,Bibb
Bibb County,01007,June,0,0,Bibb
Bibb County,01007,May,2,2,Bibb
Blount County,01009,April,4,4,Blount
Blount County,01009,August,1,1,Blount
Blount County,01009,July,4,4,Blount
Blount County,01009,June,2,2,Blount
Blount County,01009,May,3,3,Blount
Bullock County,01011,April,1,1,Bullock
Bullock County,01011,August,0,0,Bullock
Bullock County,01011,July,0,0,Bullock
Bullock County,01011,June,1,1,Bullock
Bullock County,01011,May,1,1,Bullock
Butler County,01013,April,5,6,Butler
Butler County,01013,August,1,1,Butler
Butler County,01013,July,2,2,Butler
Butler County,01013,June,1,1,Butler
Butler County,01013,May,4,4,Butler
Calhoun County,01015,April,82,139,Calhoun
Calhoun County,01015,August,37,105,Calhoun
Calhoun County,01015,July,56,119,Calhoun
Calhoun County,01015,June,40,68,Calhoun
Calhoun County,01015,May,72,99,Calhoun
Chambers County,01017,April,10,66,Chambers
Chambers County,01017,August,1,1,Chambers
Chambers County,01017,July,5,43,Chambers
Chambers County,01017,June,6,26,Chambers
Chambers County,01017,May,7,12,Chambers
Cherokee County,01019,April,6,6,Cherokee
Cherokee County,01019,August,3,3,Cherokee
Cherokee County,01019,July,0,0,Cherokee
Cherokee County,01019,June,4,5,Cherokee
Cherokee County,01019,May,8,8,Cherokee
Chilton County,01021,April,5,5,Chilton
Chilton County,01021,August,2,6,Chilton
Chilton County,01021,July,1,2,Chilton
Chilton County,01021,June,4,4,Chilton
Chilton County,01021,May,2,3,Chilton
Choctaw County,01023,April,0,0,Choctaw
Choctaw County,01023,August,0,0,Choctaw
Choctaw County,01023,July,0,0,Choctaw
Choctaw County,01023,June,0,0,Choctaw
Choctaw County,01023,May,1,1,Choctaw
Clarke County,01025,April,3,7,Clarke
Clarke County,01025,August,4,11,Clarke
Clarke County,01025,July,2,3,Clarke
Clarke County,01025,June,1,1,Clarke
Clarke County,01025,May,3,4,Clarke
Clay County,01027,April,0,0,Clay
Clay County,01027,August,0,0,Clay
Clay County,01027,July,0,0,Clay
Clay County,01027,June,0,0,Clay
Clay County,01027,May,0,0,Clay
Cleburne County,01029,April,0,0,Cleburne
Cleburne County,01029,August,0,0,Cleburne
Cleburne County,01029,July,0,0,Cleburne
Cleburne County,01029,June,2,2,Cleburne
Cleburne County,01029,May,1,1,Cleburne
Coffee County,01031,April,16,23,Coffee
Coffee County,01031,August,9,10,Coffee
Coffee County,01031,July,5,6,Coffee
Coffee County,01031,June,5,6,Coffee
Coffee County,01031,May,5,5,Coffee
Colbert County,01033,April,25,37,Colbert
Colbert County,01033,August,11,30,Colbert
Colbert County,01033,July,18,60,Colbert
Colbert County,01033,June,11,28,Colbert
Colbert County,01033,May,18,22,Colbert
Conecuh County,01035,April,1,1,Conecuh
Conecuh County,01035,August,1,1,Conecuh
Conecuh County,01035,July,0,0,Conecuh
Conecuh County,01035,June,0,0,Conecuh
Conecuh County,01035,May,0,0,Conecuh
Coosa County,01037,April,1,1,Coosa
Coosa County,01037,August,0,0,Coosa
Coosa County,01037,July,0,0,Coosa
Coosa County,01037,June,0,0,Coosa
Coosa County,01037,May,0,0,Coosa
Covington County,01039,April,7,11,Covington
Covington County,01039,August,3,5,Covington
Covington County,01039,July,2,2,Covington
Covington County,01039,June,1,1,Covington
Covington County,01039,May,4,4,Covington
Crenshaw County,01041,April,2,2,Crenshaw
Crenshaw County,01041,August,0,0,Crenshaw
Crenshaw County,01041,July,0,0,Crenshaw
Crenshaw County,01041,June,0,0,Crenshaw
Crenshaw County,01041,May,0,0,Crenshaw
Cullman County,01043,April,30,43,Cullman
Cullman County,01043,August,6,7,Cullman
Cullman County,01043,July,13,16,Cullman
Cullman County,01043,June,11,13,Cullman
Cullman County,01043,May,27,42,Cullman
Dale County,01045,April,15,27,Dale
Dale County,01045,August,5,6,Dale
Dale County,01045,July,3,3,Dale
Dale County,01045,June,2,3,Dale
Dale County,01045,May,9,16,Dale
Dallas County,01047,April,18,34,Dallas
Dallas County,01047,August,3,6,Dallas
Dallas County,01047,July,9,15,Dallas
Dallas County,01047,June,5,5,Dallas
Dallas County,01047,May,7,7,Dallas
DeKalb County,01049,April,9,9,DeKalb
DeKalb County,01049,August,2,2,DeKalb
DeKalb County,01049,July,0,0,DeKalb
DeKalb County,01049,June,1,1,DeKalb
DeKalb County,01049,May,8,11,DeKalb
Elmore County,01051,April,37,48,Elmore
Elmore County,01051,August,10,13,Elmore
Elmore County,01051,July,18,23,Elmore
Elmore County,01051,June,14,14,Elmore
Elmore County,01051,May,20,20,Elmore
Escambia County,01053,April,3,3,Escambia
Escambia County,01053,August,3,5,Escambia
Escambia County,01053,July,4,4,Escambia
Escambia County,01053,June,4,6,Escambia
Escambia County,01053,May,3,3,Escambia
Etowah County,01055,April,66,97,Etowah
Etowah County,01055,August,9,10,Etowah
Etowah County,01055,July,26,33,Etowah
Etowah County,01055,June,20,32,Etowah
Etowah County,01055,May,40,48,Etowah
Fayette County,01057,April,2,2,Fayette
Fayette County,01057,August,1,1,Fayette
Fayette County,01057,July,0,0,Fayette
Fayette County,01057,June,0,0,Fayette
Fayette County,01057,May,2,2,Fayette
Franklin County,01059,April,7,24,Franklin
Franklin County,01059,August,3,3,Franklin
Franklin County,01059,July,7,7,Franklin
Franklin County,01059,June,4,4,Franklin
Franklin County,01059,May,1,1,Franklin
Geneva County,01061,April,0,0,Geneva
Geneva County,01061,August,1,1,Geneva
Geneva County,01061,July,0,0,Geneva
Geneva County,01061,June,1,1,Geneva
Geneva County,01061,May,4,4,Geneva
Greene County,01063,April,0,0,Greene
Greene County,01063,August,0,0,Greene
Greene County,01063,July,0,0,Greene
Greene County,01063,June,0,0,Greene
Greene County,01063,May,0,0,Greene
Hale County,01065,April,5,6,Hale
Hale County,01065,August,2,3,Hale
Hale County,01065,July,2,2,Hale
Hale County,01065,June,2,2,Hale
Hale County,01065,May,4,7,Hale
Henry County,01067,April,3,3,Henry
Henry County,01067,August,0,0,Henry
Henry County,01067,July,1,1,Henry
Henry County,01067,June,0,0,Henry
Henry County,01067,May,1,1,Henry
Houston County,01069,April,56,82,Houston
Houston County,01069,August,18,21,Houston
Houston County,01069,July,35,59,Houston
Houston County,01069,June,22,45,Houston
Houston County,01069,May,36,59,Houston
Jackson County,01071,April,16,20,Jackson
Jackson County,01071,August,4,6,Jackson
Jackson County,01071,July,4,4,Jackson
Jackson County,01071,June,5,8,Jackson
Jackson County,01071,May,15,17,Jackson
Jefferson County,01073,April,799,1532,Jefferson
Jefferson County,01073,August,299,491,Jefferson
Jefferson County,01073,July,431,767,Jefferson
Jefferson County,01073,June,331,567,Jefferson
Jefferson County,01073,May,543,945,Jefferson
Lamar County,01075,April,0,0,Lamar
Lamar County,01075,August,0,0,Lamar
Lamar County,01075,July,0,0,Lamar
Lamar County,01075,June,0,0,Lamar
Lamar County,01075,May,2,2,Lamar
Lauderdale County,01077,April,62,70,Lauderdale
Lauderdale County,01077,August,23,47,Lauderdale
Lauderdale County,01077,July,27,64,Lauderdale
Lauderdale County,01077,June,23,63,Lauderdale
Lauderdale County,01077,May,34,42,Lauderdale
Lawrence County,01079,April,7,14,Lawrence
Lawrence County,01079,August,0,0,Lawrence
Lawrence County,01079,July,0,0,Lawrence
Lawrence County,01079,June,3,3,Lawrence
Lawrence County,01079,May,7,8,Lawrence
Lee County,01081,April,204,326,Lee
Lee County,01081,August,59,74,Lee
Lee County,01081,July,75,118,Lee
Lee County,01081,June,79,123,Lee
Lee County,01081,May,128,228,Lee
Limestone County,01083,April,29,69,Limestone
Limestone County,01083,August,13,21,Limestone
Limestone County,01083,July,9,13,Limestone
Limestone County,01083,June,8,11,Limestone
Limestone County,01083,May,25,37,Limestone
Lowndes County,01085,April,0,0,Lowndes
Lowndes County,01085,August,0,0,Lowndes
Lowndes County,01085,July,0,0,Lowndes
Lowndes County,01085,June,0,0,Lowndes
Lowndes County,01085,May,0,0,Lowndes
Macon County,01087,April,20,28,Macon
Macon County,01087,August,23,32,Macon
Macon County,01087,July,15,40,Macon
Macon County,01087,June,6,6,Macon
Macon County,01087,May,14,16,Macon
Madison County,01089,April,368,634,Madison
Madison County,01089,August,146,268,Madison
Madison County,01089,July,248,468,Madison
