word,n
people,9324
pandemic,8465
deaths,7792
health,5417
positive,5174
2020,5166
total,5035
day,4835
india,4205
mask,4081
time,3741
realdonaldtrump,3676
vaccine,3551
trump,3511
world,3477
news,3453
august,3060
masks,2976
update,2968
reported,2947
due,2936
virus,2886
spread,2814
testing,2759
lockdown,2664
death,2627
tested,2604
home,2594
read,2479
daily,2368
global,2363
confirmed,2321
test,2315
government,2298
tests,2291
days,2215
country,2205
school,2203
safe,2171
risk,2122
care,2103
public,2074
data,2073
hours,2054
patients,2052
july,1950
reports,1950
wear,1935
million,1850
schools,1849
4,1839
week,1810
5,1809
social,1801
support,1801
uk,1772
died,1765
children,1762
hospital,1750
active,1741
stay,1709
life,1693
americans,1684
business,1652
crisis,1643
dr,1631
recovered,1628
rate,1626
live,1622
7,1585
stop,1578
response,1574
8,1546
students,1526
kids,1514
wearing,1494
free,1489
watch,1486
don’t,1460
report,1453
6,1425
impact,1406
community,1386
fight,1385
times,1383
check,1372
months,1357
symptoms,1355
china,1353
workers,1341
tally,1336
family,1330
online,1315
recovery,1300
20,1295
president,1294
lives,1261
taking,1260
post,1257
medical,1256
join,1253
quarantine,1245
video,1242
countries,1239
spike,1209
minister,1201
single,1188
protect,1184
usa,1173
person,1171
30,1123
economy,1116
media,1116
follow,1113
real,1095
local,1091
i’m,1055
healthcare,1051
love,1051
top,1051
call,1047
plan,1047
breaking,1045
county,1045
including,1045
start,1044
study,1043
blood,1039
reporting,1036
alert,1029
hope,1028
america,1015
amid,1015
food,1007
national,1006
research,1006
aug,1004
updates,1004
12,1002
toll,1002
travel,995
staff,990
south,988
9,984
situation,984
08,964
russia,963
safety,962
pm,960
learn,956
continue,949
distancing,944
die,940
economic,937
share,937
weeks,937
yesterday,933
11,932
contact,930
morning,928
lost,926
sign,926
education,915
u.s,915
odisha,914
infections,911
outbreak,906
recoveries,904
dead,903
change,899
100,897
job,897
businesses,892
team,890
article,889
gt,884
coronaviruspandemic,882
infected,871
rise,867
14,859
disease,855
future,853
remember,848
city,844
slow,843
govt,837
measures,837
gop,836
covid_19,834
hit,821
american,809
coming,809
wearamask,803
control,799
15,796
florida,796
infection,794
cdc,791
police,791
information,778
feel,777
hard,774
africa,772
money,767
plasma,767
doctors,763
results,763
happy,762
women,762
00,756
gmt,752
record,749
13,748
25,748
increase,746
mark,740
officials,735
month,733
pay,733
flu,729
webinar,728
system,727
16,721
coronavirusupdate,721
negative,720
key,716
lot,716
based,715
families,715
treatment,712
hospitals,710
district,707
relief,702
science,700
found,699
lakh,698
canada,695
close,695
industry,687
restrictions,687
worldwide,684
related,682
normal,681
past,680
announced,678
saturday,678
current,676
chief,674
bad,670
experts,669
can’t,668
identify,668
friends,667
youtube,666
app,664
hands,663
closed,661
return,654
services,654
parents,650
recorded,650
samples,645
21,639
story,635
thread,635
leaders,634
save,630
texas,630
australia,629
visit,629
office,628
level,627
understand,627
ve,626
set,625
vaccines,623
human,620
low,618
jobs,615
god,614
learning,612
india's,611
affected,607
house,603
updated,599
emergency,596
50,595
sick,595
sunday,593
hey,588
talk,588
sooner,587
season,585
hear,584
access,582
challenges,582
listen,582
teachers,582
friday,581
united,580
international,578
provide,578
service,578
effective,577
link,573
continues,570
living,567
virtual,566
dying,565
prevent,565
guidelines,564
congress,563
companies,560
weekend,560
march,559
population,559
transmission,559
patient,558
today's,556
worst,556
fear,555
employees,551
recent,551
reopening,549
market,545
hand,544
play,544
healthy,543
thousands,543
hydroxychloroquine,541
tomorrow,541
17,539
twitter,539
indiafightscorona,537
makes,535
fauci,534
potus,533
ago,532
air,531
left,530
ready,529
till,529
wave,524
coronavirusupdates,523
we’re,523
18,522
called,521
26,519
conducted,516
increased,515
communities,514
ensure,514
records,512
true,512
discharged,509
helping,508
term,508
discuss,505
black,504
digital,503
result,502
rapid,501
vote,500
list,497
ministry,497
staysafe,497
fall,496
party,496
critical,495
22,494
bill,494
bringing,493
action,492
summer,492
blog,491
survey,491
delhi,489
evidence,489
i’ll,489
type,487
monday,485
you’re,485
power,484
zealand,484
borisjohnson,481
fighting,481
cure,480
university,479
rises,478
role,478
college,477
started,477
forget,475
question,475
act,474
truth,474
essential,472
told,471
doctor,470
federal,470
financial,470
major,470
age,468
details,468
white,468
advice,467
election,467
leadership,467
political,467
scientists,465
01,464
fresh,464
line,464
california,463
isolation,463
joebiden,463
deliver,462
growth,462
brazil,461
spreading,461
anti,460
citizens,459
cm,459
socialdistancing,459
technology,459
clinical,458
cnn,456
issues,456
millions,456
head,454
official,453
policy,453
date,452
child,451
means,451
company,450
developed,450
phase,450
rules,450
issue,449
trust,448
biggest,447
ca,446
29,445
series,445
