word,fear,negative,positive,sadness
abandon,12,12,0,12
abandoned,27,27,0,27
abandonment,3,3,0,3
abhor,1,1,0,0
abhorrent,2,2,0,0
ability,0,0,106,0
abject,0,12,0,0
abnormal,0,12,0,0
abolish,0,6,0,0
abolition,0,1,0,0
abominable,1,1,0,0
abomination,3,3,0,0
abortion,38,38,0,38
abovementioned,0,0,1,0
absence,37,37,0,37
absent,0,13,0,13
absentee,0,19,0,19
absolute,0,0,91,0
absorbed,0,0,2,0
absurd,0,31,0,0
absurdity,0,4,0,0
abundance,0,5,5,0
abundant,0,0,2,0
abuse,86,86,0,86
abysmal,0,5,0,5
abyss,8,8,0,8
academic,0,0,107,0
academy,0,0,49,0
acceptable,0,0,40,0
acceptance,0,0,12,0
accessible,0,0,47,0
accident,70,70,0,70
accidental,1,1,0,0
accolade,0,0,1,0
accommodation,0,0,22,0
accomplish,0,0,3,0
accomplished,0,0,9,0
accomplishment,0,0,6,0
accord,0,0,14,0
accountability,0,0,35,0
accountable,0,0,56,0
accredited,0,0,11,0
accurate,0,0,138,0
accusation,0,3,0,0
accused,68,68,0,0
accuser,3,3,0,0
accusing,9,9,0,0
ace,0,0,20,0
ache,0,4,0,4
achieve,0,0,97,0
achievement,0,0,29,0
acid,0,24,0,0
acquire,0,0,15,0
acquiring,0,0,12,0
action,0,0,492,0
actionable,0,9,0,0
actual,0,0,167,0
acuity,0,0,1,0
acumen,0,0,1,0
adapt,0,0,143,0
adaptable,0,0,2,0
addiction,0,43,0,0
addresses,0,0,22,0
adept,0,0,3,0
adipose,0,1,0,0
adjunct,0,0,3,0
admirable,0,0,4,0
admiral,0,0,5,0
admiration,0,0,3,0
admire,0,0,5,0
adorable,0,0,9,0
adoration,0,0,2,0
adore,0,0,5,0
adultery,0,1,0,1
advance,73,0,73,0
advanced,0,0,73,0
advancement,0,0,12,0
advantage,0,0,71,0
advent,0,0,3,0
adventure,0,0,23,0
adventurous,0,0,5,0
adversary,0,1,0,0
adverse,30,30,0,30
adversity,16,16,0,16
advisable,0,0,6,0
advise,0,0,58,0
adviser,0,0,35,0
advocacy,0,0,57,0
aesthetics,0,0,3,0
affection,0,0,1,0
affiliated,0,0,10,0
affirmation,0,0,7,0
affirmative,0,0,4,0
afflicted,0,11,0,0
affliction,2,2,0,2
affluence,0,0,1,0
affluent,0,0,8,0
afford,0,0,104,0
affront,1,1,0,1
afraid,144,144,0,0
aftermath,25,25,0,25
aftertaste,0,1,0,0
aga,29,0,29,0
aggravated,0,2,0,0
aggravating,0,1,0,1
aggression,4,4,0,0
aggressive,47,47,0,0
aghast,1,1,0,0
agile,0,0,54,0
agility,0,0,26,0
agitation,0,1,0,0
agonizing,3,3,0,0
agony,4,4,0,4
agree,0,0,329,0
agreeable,0,0,1,0
agreed,0,0,101,0
agreeing,0,0,7,0
agreement,0,0,93,0
agriculture,0,0,92,0
ahead,0,0,407,0
aid,0,0,278,0
aiding,0,0,15,0
ailing,3,3,0,3
aimless,0,2,0,0
airs,0,4,0,0
alarm,42,42,0,0
alarming,85,85,0,0
alcoholism,1,1,0,1
alertness,1,0,1,0
alerts,21,0,0,0
alien,23,23,0,0
alienated,0,1,0,1
alive,0,0,126,0
allay,0,0,1,0
allegation,0,3,0,0
allege,0,6,0,0
allegiance,0,0,2,0
allegro,0,0,1,0
alleviate,0,0,13,0
alleviation,0,0,3,0
allied,0,0,5,0
alluring,0,0,1,0
ally,0,0,13,0
almighty,0,0,23,0
aloha,0,0,7,0
aloof,0,1,0,0
amazingly,0,0,9,0
ambassador,0,0,38,0
ambiguous,0,6,0,0
ambition,0,0,8,0
ambulance,55,0,0,0
ambush,2,2,0,0
amen,0,0,27,0
amenable,0,0,2,0
amend,0,0,6,0
amends,0,0,3,0
amicable,0,0,1,0
amnesia,0,1,0,0
