word,n,sentiment,sentiment_label
pandemic,8465,fear,c) fear
death,2627,fear,c) fear
government,2298,fear,c) fear
risk,2122,fear,c) fear
hospital,1750,fear,c) fear
watch,1486,fear,c) fear
fight,1385,fear,c) fear
medical,1256,fear,c) fear
quarantine,1245,fear,c) fear
spike,1209,fear,c) fear
pandemic,8465,negative,b) negative
virus,2886,negative,b) negative
death,2627,negative,b) negative
government,2298,negative,b) negative
risk,2122,negative,b) negative
wear,1935,negative,b) negative
crisis,1643,negative,b) negative
fight,1385,negative,b) negative
die,940,negative,b) negative
lost,926,negative,b) negative
vaccine,3551,positive,a) positive
august,3060,positive,a) positive
confirmed,2321,positive,a) positive
safe,2171,positive,a) positive
public,2074,positive,a) positive
community,1386,positive,a) positive
recovery,1300,positive,a) positive
president,1294,positive,a) positive
medical,1256,positive,a) positive
join,1253,positive,a) positive
pandemic,8465,sadness,d) sadness
death,2627,sadness,d) sadness
hospital,1750,sadness,d) sadness
die,940,sadness,d) sadness
lost,926,sadness,d) sadness
disease,855,sadness,d) sadness
negative,720,sadness,d) sadness
bad,670,sadness,d) sadness
emergency,596,sadness,d) sadness
sick,595,sadness,d) sadness
